Anom_ID,Accident_Date,Hour,Day_of_Week,Month_Name,Env,Light_Cond,Road,Traffic,Traffic_Control_Condition,Impact,Loc_Type,Severity,Injury_Event,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,Latitude,Longitude
20--1176,2020-01-23,20.0,Thursday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.29353683,-75.8955837
20--1177,2020-01-23,8.0,Thursday,January,Clear,Daylight,Wet,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44659461,-75.5958984
20--1178,2020-01-23,20.0,Thursday,January,Clear,Dark,Loose snow,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.3796158,-75.65287773
20--1179,2020-01-23,8.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,SMV other,At intersection,Non-Fatal Injury,1,1,0,0,1,1,0.0,1.0,0.0,0.0,45.45926486,-75.50997074
20--118,2020-01-04,3.0,Saturday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,SMV other,Intersection related,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.29491138,-75.72927409
20--1180,2020-01-23,21.0,Thursday,January,Clear,Dark,Wet,No control,Not Applicable,Turning movement,Non intersection,Non-Fatal Injury,1,3,0,0,0,1,0.0,1.0,0.0,0.0,45.36352927,-75.76960953
20--1181,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.2597326,-75.82568404
20--1182,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,Stop sign,01 - Functioning,Angle,At intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.24103574,-75.712221
20--1183,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38439064,-75.61907796
20--1184,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.24044687,-75.71225876
20--1185,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41269496,-75.60327613
20--1186,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.26750727,-75.93004867
20--1187,2020-01-24,13.0,Friday,January,Clear,Daylight,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38383376,-75.62088737
20--1188,2020-01-24,22.0,Friday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.40665465,-75.62748592
20--1189,2020-01-24,10.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Other,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41674721,-75.67416067
20--119,2020-01-04,15.0,Saturday,January,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35006903,-75.80590221
20--1190,2020-01-24,10.0,Friday,January,Clear,Daylight,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41855888,-75.67821141
20--1191,2020-01-24,10.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Other,Non intersection,Property Damage Only,0,3,0,0,0,0,0.0,0.0,0.0,0.0,45.40478035,-75.70194564
20--1192,2020-01-24,11.0,Friday,January,Clear,Daylight,Dry,Traffic signal,00 - Unknown,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37690523,-75.69151126
20--1193,2020-01-24,11.0,Friday,January,Clear,Daylight,Loose snow,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.41539517,-75.69416721
20--1194,2020-01-24,11.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34255761,-75.69102163
20--1195,2020-01-24,23.0,Friday,January,Clear,Dark,Dry,Stop sign,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.24103572,-75.71222106
20--1198,2020-01-24,12.0,Friday,January,Clear,Daylight,Slush,No control,Not Applicable,SMV unattended vehicle,At/near private drive,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.16549406,-75.94350475
20--1199,2020-01-24,0.0,Friday,January,Clear,Dark,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35172094,-75.7624182
20--120,2020-01-04,15.0,Saturday,January,Snow,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.40949983,-75.7105727
20--1200,2020-01-24,12.0,Friday,January,Clear,Daylight,Wet,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.42329245,-75.6977906
20--1201,2020-01-24,12.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44168541,-75.6450557
20--1202,2020-01-24,14.0,Friday,January,Clear,Daylight,Loose snow,Stop sign,01 - Functioning,Other,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.36628708,-75.78995113
20--1203,2020-01-24,14.0,Friday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35796877,-75.7377232
20--1204,2020-01-24,14.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44714463,-75.59465555
20--1205,2020-01-24,2.0,Friday,January,Clear,Dark,Slush,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.45035689,-75.47931022
20--1206,2020-01-24,14.0,Friday,January,Clear,Daylight,Dry,Stop sign,01 - Functioning,Other,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.4251903,-75.65237522
20--1207,2020-01-24,14.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39941358,-75.72248677
20--1208,2020-01-24,2.0,Friday,January,Clear,Dark,Wet,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.4292081,-75.61083815
20--1209,2020-01-24,15.0,Friday,January,Clear,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.40665457,-75.627486
20--121,2020-01-04,3.0,Saturday,January,Clear,Dark,Wet,No control,Not Applicable,SMV other,At/near private drive,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.29781093,-75.73093571
20--1210,2020-01-24,15.0,Friday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Angle,At intersection,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.41746786,-75.70598944
20--1211,2020-01-24,16.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40526749,-75.71254481
20--1212,2020-01-24,16.0,Friday,January,Snow,Daylight,Slush,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40626851,-75.72133295
20--1213,2020-01-24,16.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42102013,-75.59655373
20--1214,2020-01-24,17.0,Friday,January,Clear,Dusk,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37730972,-75.68486292
20--1215,2020-01-24,17.0,Friday,January,Clear,Dusk,Wet,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44734799,-75.59419566
20--1216,2020-01-24,17.0,Friday,January,Clear,Dusk,Wet,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34258494,-75.80763987
20--1217,2020-01-24,17.0,Friday,January,Snow,Dusk,Slush,No control,Not Applicable,Turning movement,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.3584763,-76.06431802
20--1308,2020-01-25,19.0,Saturday,January,Snow,Dark,Slush,No control,Not Applicable,Approaching,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39654058,-75.39395779
20--1309,2020-01-25,19.0,Saturday,January,Snow,Dark,Loose snow,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.28451448,-75.95138013
20--131,2020-01-04,19.0,Saturday,January,Clear,Dark,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35061322,-75.92687175
20--1310,2020-01-25,19.0,Saturday,January,Snow,Dark,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.27628645,-75.71703679
20--1311,2020-01-25,7.0,Saturday,January,Clear,Dawn,Dry,Traffic signal,01 - Functioning,Other,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42016309,-75.69509022
20--1312,2020-01-25,19.0,Saturday,January,Snow,Dark,Loose snow,No control,Not Applicable,Approaching,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35591923,-75.61411513
20--1313,2020-01-25,19.0,Saturday,January,Drifting Snow,Dark,Slush,No control,Not Applicable,Approaching,Non intersection,Non-Fatal Injury,1,2,0,0,0,2,0.0,2.0,0.0,0.0,45.3353131,-75.58861744
20--1314,2020-01-25,7.0,Saturday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35150222,-75.76297732
20--1315,2020-01-25,8.0,Saturday,January,Snow,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34061305,-75.57823937
20--1316,2020-01-25,20.0,Saturday,January,Snow,Dark,Slush,No control,Not Applicable,Approaching,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.26376544,-75.81724003
20--1317,2020-01-25,20.0,Saturday,January,Snow,Dark,Slush,No control,Not Applicable,Other,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.33685591,-75.71908683
20--1318,2020-01-25,20.0,Saturday,January,Snow,Dark,Loose snow,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.40257554,-75.75274599
20--1319,2020-01-25,20.0,Saturday,January,Snow,Dark,Loose snow,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.17634546,-75.46998339
20--132,2020-01-04,20.0,Saturday,January,Snow,Dark,Ice,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.37793971,-75.64482594
20--1320,2020-01-25,21.0,Saturday,January,Snow,Dark,Packed snow,Traffic signal,01 - Functioning,SMV other,At intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.34760681,-75.62536906
20--1321,2020-01-25,21.0,Saturday,January,Snow,Dark,Loose snow,No control,Not Applicable,SMV other,Non intersection,Non-Fatal Injury,1,1,0,0,0,1,1.0,0.0,0.0,0.0,45.27925205,-75.96047966
20--1322,2020-01-25,21.0,Saturday,January,Snow,Dark,Packed snow,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.36073905,-75.68794258
20--1323,2020-01-25,21.0,Saturday,January,Clear,Dark,Dry,No control,Not Applicable,SMV other,Non intersection,Non-Fatal Injury,1,1,0,0,1,1,1.0,0.0,0.0,0.0,45.40136187,-75.70998287
20--1324,2020-01-26,1.0,Sunday,January,Snow,Dark,Packed snow,Traffic signal,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35157369,-75.65140721
20--1325,2020-01-26,1.0,Sunday,January,Snow,Dark,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.27200619,-75.78456174
20--1326,2020-01-26,1.0,Sunday,January,Freezing Rain,Dark,Slush,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.35015485,-75.66332541
20--1327,2020-01-26,1.0,Sunday,January,Snow,Dark,Slush,Traffic signal,01 - Functioning,SMV other,Intersection related,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.45926483,-75.50997075
20--1328,2020-01-26,11.0,Sunday,January,Snow,Daylight,Slush,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.31484284,-75.89644552
20--1329,2020-01-26,11.0,Sunday,January,Clear,Daylight,Wet,No control,Not Applicable,Sideswipe,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.4124996,-75.62686245
20--133,2020-01-04,9.0,Saturday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37403308,-75.59724395
20--1330,2020-01-26,11.0,Sunday,January,Snow,Daylight,Slush,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,2,0,0,0,2,0.0,2.0,0.0,0.0,45.2789026,-75.96102781
20--1334,2020-01-26,0.0,Sunday,January,Snow,Dark,Slush,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.35027617,-75.99866793
20--1335,2020-01-26,12.0,Sunday,January,Snow,Daylight,Other,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.31001029,-75.90371551
20--1336,2020-01-26,14.0,Sunday,January,Snow,Daylight,Slush,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.28014152,-75.9590739
20--1337,2020-01-26,14.0,Sunday,January,Clear,Daylight,Slush,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42626662,-75.69402602
20--1338,2020-01-26,14.0,Sunday,January,Rain,Daylight,Slush,IPS,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39287709,-75.73945055
