Anom_ID,Accident_Date,Hour,Day_of_Week,Month_Name,Env,Light_Cond,Road,Traffic,Traffic_Control_Condition,Impact,Loc_Type,Severity,Injury_Event,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,Latitude,Longitude,Coord_Valid
20--115,2020-01-04,12.0,Saturday,January,Rain,Daylight,Slush,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.29519805,-75.89300186,True
20--1150,2020-01-23,14.0,Thursday,January,Clear,Daylight,Wet,Stop sign,00 - Unknown,Other,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.26108585,-75.74081616,True
20--1151,2020-01-23,14.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38508229,-75.62719229,True
20--1152,2020-01-23,14.0,Thursday,January,Clear,Daylight,Packed snow,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.33536125,-75.69115853,True
20--1153,2020-01-23,14.0,Thursday,January,Clear,Daylight,Loose snow,Traffic signal,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.26435149,-75.88519424,True
20--1154,2020-01-23,14.0,Thursday,January,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.3914416,-75.7329041,True
20--1155,2020-01-23,14.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.43948471,-75.65180341,True
20--1156,2020-01-23,15.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.29917767,-75.90386271,True
20--1157,2020-01-23,15.0,Thursday,January,Clear,Daylight,Wet,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42710991,-75.66292715,True
20--1158,2020-01-23,16.0,Thursday,January,Clear,Dusk,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.33417398,-75.70057066,True
20--1159,2020-01-23,16.0,Thursday,January,Clear,Daylight,Dry,Stop sign,01 - Functioning,Other,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41098097,-75.6984275,True
20--116,2020-01-04,12.0,Saturday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42894914,-75.63999939,True
20--1160,2020-01-23,16.0,Thursday,January,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.37326119,-75.69099518,True
20--1161,2020-01-23,16.0,Thursday,January,Clear,Dusk,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.17426817,-76.04962718,True
20--1162,2020-01-23,17.0,Thursday,January,Clear,Dusk,Dry,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,3,0,0,0,1,1.0,0.0,0.0,0.0,45.41246943,-75.68261636,True
20--1163,2020-01-23,17.0,Thursday,January,Clear,Dusk,Wet,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.45247732,-75.58281341,True
20--1164,2020-01-23,17.0,Thursday,January,Clear,Dusk,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38991891,-75.69385945,True
20--1165,2020-01-23,17.0,Thursday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.43447639,-75.66574617,True
20--1166,2020-01-23,17.0,Thursday,January,Clear,Dark,Dry,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.25968055,-76.069294,True
20--1167,2020-01-23,17.0,Thursday,January,Clear,Dark,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40239675,-75.72616078,True
20--1168,2020-01-23,17.0,Thursday,January,Clear,Dark,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,3,0,0,0,0,0.0,0.0,0.0,0.0,45.37667008,-75.69279833,True
20--1169,2020-01-23,6.0,Thursday,January,Clear,Dark,Wet,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.4007718,-75.72912608,True
20--117,2020-01-04,14.0,Saturday,January,Snow,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34098861,-75.7880217,True
20--1170,2020-01-23,18.0,Thursday,January,Clear,Dark,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.2693151,-75.70002881,True
20--1171,2020-01-23,18.0,Thursday,January,Clear,Dark,Wet,Traffic signal,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38344727,-75.73955168,True
20--1172,2020-01-23,6.0,Thursday,January,Clear,Dark,Wet,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.37218573,-75.69084063,True
20--1173,2020-01-23,18.0,Thursday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34499489,-75.66598918,True
20--1174,2020-01-23,7.0,Thursday,January,Snow,Dawn,Loose snow,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42471226,-75.63546331,True
20--1175,2020-01-23,19.0,Thursday,January,Clear,Dark,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Non-Fatal Injury,1,1,0,0,0,1,1.0,0.0,0.0,0.0,45.35600616,-75.7292249,True
20--1176,2020-01-23,20.0,Thursday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.29353683,-75.8955837,True
20--1177,2020-01-23,8.0,Thursday,January,Clear,Daylight,Wet,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44659461,-75.5958984,True
20--1178,2020-01-23,20.0,Thursday,January,Clear,Dark,Loose snow,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.3796158,-75.65287773,True
20--1179,2020-01-23,8.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,SMV other,At intersection,Non-Fatal Injury,1,1,0,0,1,1,0.0,1.0,0.0,0.0,45.45926486,-75.50997074,True
20--118,2020-01-04,3.0,Saturday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,SMV other,Intersection related,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.29491138,-75.72927409,True
20--1180,2020-01-23,21.0,Thursday,January,Clear,Dark,Wet,No control,Not Applicable,Turning movement,Non intersection,Non-Fatal Injury,1,3,0,0,0,1,0.0,1.0,0.0,0.0,45.36352927,-75.76960953,True
20--1181,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.2597326,-75.82568404,True
20--1182,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,Stop sign,01 - Functioning,Angle,At intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.24103574,-75.712221,True
20--1183,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38439064,-75.61907796,True
20--1184,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.24044687,-75.71225876,True
20--1185,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41269496,-75.60327613,True
20--1186,2020-01-24,13.0,Friday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.26750727,-75.93004867,True
20--1187,2020-01-24,13.0,Friday,January,Clear,Daylight,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38383376,-75.62088737,True
20--1188,2020-01-24,22.0,Friday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.40665465,-75.62748592,True
20--1189,2020-01-24,10.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Other,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41674721,-75.67416067,True
20--119,2020-01-04,15.0,Saturday,January,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35006903,-75.80590221,True
20--1190,2020-01-24,10.0,Friday,January,Clear,Daylight,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41855888,-75.67821141,True
20--1191,2020-01-24,10.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Other,Non intersection,Property Damage Only,0,3,0,0,0,0,0.0,0.0,0.0,0.0,45.40478035,-75.70194564,True
20--1192,2020-01-24,11.0,Friday,January,Clear,Daylight,Dry,Traffic signal,00 - Unknown,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37690523,-75.69151126,True
20--1193,2020-01-24,11.0,Friday,January,Clear,Daylight,Loose snow,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.41539517,-75.69416721,True
20--1194,2020-01-24,11.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34255761,-75.69102163,True
20--1195,2020-01-24,23.0,Friday,January,Clear,Dark,Dry,Stop sign,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.24103572,-75.71222106,True
20--1196,2020-01-24,,Friday,January,Clear,Unknown,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.41873306,-75.68413744,True
20--1197,2020-01-24,,Friday,January,Clear,Unknown,Wet,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.41149418,-75.69521759,True
20--1198,2020-01-24,12.0,Friday,January,Clear,Daylight,Slush,No control,Not Applicable,SMV unattended vehicle,At/near private drive,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.16549406,-75.94350475,True
20--1199,2020-01-24,0.0,Friday,January,Clear,Dark,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35172094,-75.7624182,True
20--120,2020-01-04,15.0,Saturday,January,Snow,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.40949983,-75.7105727,True
20--1200,2020-01-24,12.0,Friday,January,Clear,Daylight,Wet,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.42329245,-75.6977906,True
20--1201,2020-01-24,12.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44168541,-75.6450557,True
20--1202,2020-01-24,14.0,Friday,January,Clear,Daylight,Loose snow,Stop sign,01 - Functioning,Other,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.36628708,-75.78995113,True
20--1203,2020-01-24,14.0,Friday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35796877,-75.7377232,True
20--1204,2020-01-24,14.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44714463,-75.59465555,True
20--1205,2020-01-24,2.0,Friday,January,Clear,Dark,Slush,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.45035689,-75.47931022,True
20--1206,2020-01-24,14.0,Friday,January,Clear,Daylight,Dry,Stop sign,01 - Functioning,Other,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.4251903,-75.65237522,True
20--1207,2020-01-24,14.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39941358,-75.72248677,True
20--1208,2020-01-24,2.0,Friday,January,Clear,Dark,Wet,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.4292081,-75.61083815,True
20--1209,2020-01-24,15.0,Friday,January,Clear,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.40665457,-75.627486,True
20--121,2020-01-04,3.0,Saturday,January,Clear,Dark,Wet,No control,Not Applicable,SMV other,At/near private drive,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.29781093,-75.73093571,True
20--1210,2020-01-24,15.0,Friday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Angle,At intersection,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.41746786,-75.70598944,True
20--1211,2020-01-24,16.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40526749,-75.71254481,True
20--1212,2020-01-24,16.0,Friday,January,Snow,Daylight,Slush,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40626851,-75.72133295,True
20--1213,2020-01-24,16.0,Friday,January,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42102013,-75.59655373,True
20--1214,2020-01-24,17.0,Friday,January,Clear,Dusk,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37730972,-75.68486292,True
20--1215,2020-01-24,17.0,Friday,January,Clear,Dusk,Wet,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44734799,-75.59419566,True
20--1216,2020-01-24,17.0,Friday,January,Clear,Dusk,Wet,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34258494,-75.80763987,True
20--1217,2020-01-24,17.0,Friday,January,Snow,Dusk,Slush,No control,Not Applicable,Turning movement,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.3584763,-76.06431802,True
20--1308,2020-01-25,19.0,Saturday,January,Snow,Dark,Slush,No control,Not Applicable,Approaching,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39654058,-75.39395779,True
20--1309,2020-01-25,19.0,Saturday,January,Snow,Dark,Loose snow,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.28451448,-75.95138013,True
20--131,2020-01-04,19.0,Saturday,January,Clear,Dark,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35061322,-75.92687175,True
20--1310,2020-01-25,19.0,Saturday,January,Snow,Dark,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.27628645,-75.71703679,True
20--1311,2020-01-25,7.0,Saturday,January,Clear,Dawn,Dry,Traffic signal,01 - Functioning,Other,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42016309,-75.69509022,True
20--1312,2020-01-25,19.0,Saturday,January,Snow,Dark,Loose snow,No control,Not Applicable,Approaching,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35591923,-75.61411513,True
20--1313,2020-01-25,19.0,Saturday,January,Drifting Snow,Dark,Slush,No control,Not Applicable,Approaching,Non intersection,Non-Fatal Injury,1,2,0,0,0,2,0.0,2.0,0.0,0.0,45.3353131,-75.58861744,True
20--1314,2020-01-25,7.0,Saturday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35150222,-75.76297732,True
20--1315,2020-01-25,8.0,Saturday,January,Snow,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34061305,-75.57823937,True
20--1316,2020-01-25,20.0,Saturday,January,Snow,Dark,Slush,No control,Not Applicable,Approaching,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.26376544,-75.81724003,True
20--1317,2020-01-25,20.0,Saturday,January,Snow,Dark,Slush,No control,Not Applicable,Other,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.33685591,-75.71908683,True
20--1318,2020-01-25,20.0,Saturday,January,Snow,Dark,Loose snow,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.40257554,-75.75274599,True
20--1319,2020-01-25,20.0,Saturday,January,Snow,Dark,Loose snow,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.17634546,-75.46998339,True
20--132,2020-01-04,20.0,Saturday,January,Snow,Dark,Ice,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.37793971,-75.64482594,True
20--1320,2020-01-25,21.0,Saturday,January,Snow,Dark,Packed snow,Traffic signal,01 - Functioning,SMV other,At intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.34760681,-75.62536906,True
20--1321,2020-01-25,21.0,Saturday,January,Snow,Dark,Loose snow,No control,Not Applicable,SMV other,Non intersection,Non-Fatal Injury,1,1,0,0,0,1,1.0,0.0,0.0,0.0,45.27925205,-75.96047966,True
20--1322,2020-01-25,21.0,Saturday,January,Snow,Dark,Packed snow,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.36073905,-75.68794258,True
20--1323,2020-01-25,21.0,Saturday,January,Clear,Dark,Dry,No control,Not Applicable,SMV other,Non intersection,Non-Fatal Injury,1,1,0,0,1,1,1.0,0.0,0.0,0.0,45.40136187,-75.70998287,True
20--1324,2020-01-26,1.0,Sunday,January,Snow,Dark,Packed snow,Traffic signal,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35157369,-75.65140721,True
20--1325,2020-01-26,1.0,Sunday,January,Snow,Dark,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.27200619,-75.78456174,True
20--1326,2020-01-26,1.0,Sunday,January,Freezing Rain,Dark,Slush,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.35015485,-75.66332541,True
20--1327,2020-01-26,1.0,Sunday,January,Snow,Dark,Slush,Traffic signal,01 - Functioning,SMV other,Intersection related,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.45926483,-75.50997075,True
